


                                                                Ürün Listesi


       ROP 6                                                                                                            21.08.2022 14:45:45
        Adý                                    Grubu                   Satýþ Fiyatý      Paket Fiyatý        Ýndirimli 1     Ýndirimli 2 

         Cappucino Fýndýklý -109614-       ESPRESSO                              22                23                  0               0 

        0,33 LT SU                         TEZGAH1                               5                   6                 0               0 
        1 LT MEYVE SUYU                    SOÐUK ÝÇECEKLER                       25                25                  0               0 

        1,5 LT SU                          TEZGAH1                               6                   7                 0               0 
        1,5 Lt Su -107262-                 SOÐUK ÝÇECEKLER                       10                11                  0               0 

        100 GR ET HAÞLANMIÞ SEBZE          KIRMIZ ETLER                          85                76                  0               0 

        200 Ml Atom -107285-               SOÐUK ÝÇECEKLER                       7                   8                 0               0 
        500 Ml Su -107287-                 SOÐUK ÝÇECEKLER                       5                   6                 0               0 

        750 ML CAM ÞÝÞE SU                 SOÐUK ÝÇECEKLER                       15                15                  0               0 

        ADA ÇAYI -109623-                  BÝTKÝSEL ÇAYLAR                       22                23                  0               0 
        Adet Pasta -111219-                TATLILAR                              30                31                  0               0 

        ALPELLA SÜT                        SOÐUK ÝÇECEKLER                       11                12                  0               0 

        Americano -109613-                 ESPRESSO                              22                23                  0               0 
        Anadolu Kahvaltý -BELÝV111147-     GÜNEBAÞLARKEN                         45                46                  0               0 

        Anadolu Mantý -111207-             MAKARNALAR                            50                51                  0               0 
        Ankara Simidi                      TEZGAH                                8                   8                 0               0 

        AVÞAR SODA                                                               7                   8                 0               0 

        Ayran                              SOÐUK ÝÇECEKLER                       7                   8                 0               0 
        AYRAN                              TEZGAH1                               8                   8                 0               0 

        AYRAN BÜYÜK (300G)                 SOÐUK ÝÇECEKLER                       10                11                  0               0 

        Ayvalýk Tostu -111160-             TOSTLAR                               40                41                  0               0 
        Bademli Latte-109614-              ESPRESSO                              22                23                  0               0 

        BAZLAMADA KAVURMALI KAÞARLI        TOSTLAR                               50                51                  0               0 
        BEÐENDÝLÝ DANA KÜLBASTI            KIRMIZ ETLER                          99                99                  0               0 

        BEÐENDÝLÝ TAVUK KÜLBASTI           BEYAZ ETLER                           55                56                  0               0 

        BELÝV Burger -111174-              BURGERLER                             55                56                  0               0 
        BELÝV TOST                         TOSTLAR                               40                41                  0               0 

        BELÝV WRAP                         WRAPLAR                               60                61                  0               0 

        Beyaz Çikolata                     SICAK ÇÝKOLATALAR                     20                21                  0               0 
        Beyaz Peynir Gözleme -111168-      GÖZLEMELER                            37                38                  0               0 

        BEYAZ PEYNÝRLÝ SANDVÝÇ             SANVÝÇLER                             30                31                  0               0 
        Beyaz Peynirli Tost                TOSTLAR                               32                33                  0               0 

        Bostan Salata -111187-             SALATALAR                             30                31                  0               0 

        BÖÐÜRTLEN ÇAYI  -109623-           BÝTKÝSEL ÇAYLAR                       22                23                  0               0 
        Börek Tabaðý -109539-              HAFÝF ATIÞTIRMA                       20                21                  0               0 

        Brownie -109597-                   TATLILAR                              30                31                  0               0 

        BÜYÜK BOY KAHVE                    ESPRESSO                              30                31                  0               0 
        CAFE DE PARÝS ANTRÝKOT             KIRMIZ ETLER                          99                81                  0               0 

        Cappucino Bademli -109614-         ESPRESSO                              22                23                  0               0 
        Cappucino Vanilya-109614-          ESPRESSO                              22                23                  0               0 

        Cappucino-109613-                  ESPRESSO                              22                23                  0               0 

        Cappy Atom -107281-                SOÐUK ÝÇECEKLER                       20                21                  0               0 
        Caramel Macchiato-109614-          ESPRESSO                              22                23                  0               0 

        Ceasar Etli Salata                 SALATALAR                             50                51                  0               0 


                                                                                                                                    PAGE 1



------------------------------------------------------------------------




        Adý                                    Grubu                   Satýþ Fiyatý      Paket Fiyatý        Ýndirimli 1     Ýndirimli 2 

        Ceasar Tavuklu Salata              SALATALAR                             45                46                  0               0 

        Cev.Tulum Pey.Salata -111189-      SALATALAR                             45                46                  0               0 
        CHECK UP KAHVALTI                  TEZGAH1                               40                40                  0               0 

        Cheese Burger                      BURGERLER                             55                56                  0               0 

        Cheesecake                         TATLILAR                              30                31                  0               0 
        CHÝCKEN BURGER                     BURGERLER                             45                46                  0               0 

        Coca Cola -107281-                 SOÐUK ÝÇECEKLER                       20                21                  0               0 
        Cola Lýght -107281-                SOÐUK ÝÇECEKLER                       20                21                  0               0 

        Cola Zero -107281-                 SOÐUK ÝÇECEKLER                       20                21                  0               0 

        CORNETTO                           TATLILAR                              15                16                  0               0 
        ÇAVDAR EKMEKLÝ SEBZELÝ SANDVÝÇ     SANVÝÇLER                             30                31                  0               0 

        Çilekli Cappucino-109614-          ESPRESSO                              22                23                  0               0 

        Çilekli Çikolata                   SICAK ÇÝKOLATALAR                     20                21                  0               0 
        Çok Pey.Mini Sandviç -111161-      SANVÝÇLER                             25                26                  0               0 

        ÇOKOMEL                            TEZGAH                                3                   3                 0               0 
        ÇÖRÇÝL                             SOÐUK ÝÇECEKLER                       15                16                  0               0 

        ÇUBUK KRAKER                       TEZGAH                                5                   5                 0               0 

        DAMLA ÞÝÞE SU                      SOÐUK ÝÇECEKLER                       10                  8                 0               0 
        DAMLA-ERÝKLÝ CAM SU KÜÇÜK          SOÐUK ÝÇECEKLER                       10                10                  0               0 

        DEMELEME KUPA ÇAY                  SICAK ÝÇECEKLER                       10                11                  0               0 

        Demleme Çay -109604-               SICAK ÝÇECEKLER                       7                   8                 0               0 
        Demleme Fincan Çay -109605-        SICAK ÝÇECEKLER                       10                11                  0               0 

        DEMLÝK ÇAY                         TEZGAH                                35                36                  0               0 

        Dibek Kahvesi                      SICAK ÝÇECEKLER                       15                16                  0               0 
        DÝDO                               TEZGAH                                12                13                  0               0 

        DÝLÝM PEYNÝR                       TEZGAH                                3                   3                 0               0 
        DONDURMA BARDAK                    TATLILAR                              15                16                  0               0 

        DONUT                              TATLILAR                              20                21                  0               0 

        DUBLE ESPRESSO -109612-            ESPRESSO                              22                23                  0               0 
        Earl Grey -109623-                 BÝTKÝSEL ÇAYLAR                       22                23                  0               0 

        EKLER                              TATLILAR                              5                   6                 0               0 

        EKMEK                              TEZGAH                                3                   3                 0               0 
        ELMA ÇAYI 10929                    BÝTKÝSEL ÇAYLAR                       22                23                  0               0 

        ELMA DÝLÝM PATATES                 HAFÝF ATIÞTIRMA                       25                26                  0               0 
        ENERJÝ COCO COLA                   SOÐUK ÝÇECEKLER                       20                21                  0               0 

        Espresso -109611-                  ESPRESSO                              12                13                  0               0 

        ETÝ FORM                           TEZGAH                                12                13                  0               0 
        ETLÝ WRAP                          WRAPLAR                               60                61                  0               0 

        Exotic Limon                       SOÐUK ÝÇECEKLER                       10                11                  0               0 

        Expres Kahvaltý -111146-           GÜNEBAÞLARKEN                         40                41                  0               0 
        Ezotic Portakal                    SOÐUK ÝÇECEKLER                       25                26                  0               0 

        Fanta -107281-                     SOÐUK ÝÇECEKLER                       20                21                  0               0 
        Fettucinne Alfredo -111198-        MAKARNALAR                            60                61                  0               0 

        FÝLTRE KAHVE                       ESPRESSO                              22                23                  0               0 

        Fýndýklý Latte-109614-             ESPRESSO                              22                23                  0               0 
        Fusetea Limon -107281-             SOÐUK ÝÇECEKLER                       20                21                  0               0 

        Günün Çorbasý -107271-             ÇORBALAR                              25                26                  0               0 

                                                                                                                                    PAGE 2

------------------------------------------------------------------------




        Adý                                    Grubu                   Satýþ Fiyatý      Paket Fiyatý        Ýndirimli 1     Ýndirimli 2 

        GÜNÜN MENÜSÜ                       KIRMIZ ETLER                          50                41                  0               0 

        GÜVEÇTE KAÞARLI ET SOTE            KIRMIZ ETLER                          99                81                  0               0 
        HARÝBO                             TEZGAH                                2                   3                 0               0 

        HAÞLANMIÞ YUMURTA                  GÜNEBAÞLARKEN                         6                   7                 0               0 

        HAVUÇLU KEK                        TEZGAH                                20                21                  0               0 
        Havuçlu Kek -111335-               TATLILAR                              20                21                  0               0 

        IHLAMUR ÇAYI 10933-                BÝTKÝSEL ÇAYLAR                       22                23                  0               0 
        Ýrish Cream Cappucino-109614-      ESPRESSO                              22                23                  0               0 

        ISLAK MENDÝL 15 LÝ                 TEZGAH                                5                   6                 0               0 

        ISLAK MENDÝL 90 LI                 TEZGAH                                15                16                  0               0 
        Izgara Hellim Salata -111192-      SALATALAR                             45                46                  0               0 

        IZGARA HELLÝM SANDVÝÇ              SANVÝÇLER                             30                31                  0               0 

        Izgara Köfte -110985-              KIRMIZ ETLER                          60                61                  0               0 
        IZGARA TAVUK SALATA                SALATALAR                             45                46                  0               0 

        IZGARA TAVUKLU SANDVÝÇ             SANVÝÇLER                             40                41                  0               0 
        IZGARA YARIM PÝLÝÇ                 BEYAZ ETLER                           55                56                  0               0 

        KAÐIT BARDAK                       SOÐUK ÝÇECEKLER                       1                   1                 0               0 

